ESTAGIOID,CARGA_HORARIA,SITUACAO,TIPOESTAGIO,ESTAGIARIO_ID,CLASSIFICACAO,DATA_INICIO,DATA_FIM,ORIENTADOR_FK,CURSOID,MODALIDADE,NIVEL,CURSO,EMPRESAID,EMPRESA,TIPOEMPRESA
4978,380,3,0,2963,0,2015-02-27,2015-06-01,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
4979,44,3,0,2964,0,2008-06-09,2008-06-20,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
4980,44,3,0,2964,0,2008-06-30,2008-07-18,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
4981,44,3,0,2964,0,2008-08-28,2008-11-20,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
4982,88,3,0,2964,0,2013-03-05,2013-04-26,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
4983,380,3,0,2964,0,2013-06-12,2014-02-14,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
4984,88,3,0,2965,0,2014-06-04,2014-10-08,18,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
4985,228,3,0,2965,0,2014-11-24,2015-05-15,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
4986,44,3,0,2966,0,2014-04-28,2014-05-23,687,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
4987,44,3,0,2966,0,2014-05-23,2014-09-26,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
4988,44,3,0,2966,0,2014-10-09,2014-11-14,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
4989,88,3,0,2966,0,2014-10-29,2014-12-20,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
4990,380,3,0,2966,0,2015-02-10,2015-10-15,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
4991,44,3,0,2967,0,2013-10-29,2013-11-25,687,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
4992,44,3,0,2967,0,2013-11-26,2014-02-26,687,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
4993,44,3,0,2967,0,2014-03-17,2014-04-07,687,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
4994,88,3,0,2967,0,2014-02-27,2014-05-23,7,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
4995,380,3,0,2967,0,2014-06-04,2014-12-10,25,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
4996,44,3,0,2968,0,2013-10-29,2013-11-25,687,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
4997,44,3,0,2968,0,2013-11-26,2014-02-26,687,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
4998,44,3,0,2968,0,2014-03-17,2014-04-07,687,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
4999,88,3,0,2968,0,2014-02-27,2014-06-11,7,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5000,380,3,0,2968,0,2014-06-04,2014-11-26,25,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5001,150,3,0,2969,0,2011-02-22,2011-05-16,104,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5002,50,3,0,2969,0,2011-05-24,2015-12-07,17,51,2,1,"Técnico em Enfermagem",2415,"Unidade Básica de Saúde Dr Aurelio Caciquinho Ferreira ",1
5003,40,3,0,2970,0,2009-05-13,2009-05-26,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5004,40,3,0,2970,0,2009-06-01,2009-06-16,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5005,40,3,0,2970,0,2010-03-10,2010-04-22,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5006,88,3,0,2970,0,2012-06-21,2012-10-17,22,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5007,392,3,0,2970,0,2011-07-14,2012-09-12,22,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5008,44,3,0,2971,0,2014-06-09,2014-09-18,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5009,44,3,0,2971,0,2014-09-23,2014-10-08,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5010,44,3,0,2971,0,2014-10-21,2014-11-05,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5011,88,3,0,2971,0,2014-11-10,2014-12-10,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5012,380,3,0,2971,0,2015-03-03,2015-10-23,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5013,44,3,0,2972,0,2013-08-12,2013-08-29,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5014,44,3,0,2972,0,2013-09-03,2013-10-09,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5015,44,3,0,2972,0,2013-10-10,2013-11-12,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5016,88,3,0,2972,0,2014-02-26,2014-03-28,104,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5017,380,3,0,2972,0,2014-08-11,2015-03-11,25,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5018,44,3,0,2973,0,2013-11-19,2014-02-24,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5019,44,3,0,2973,0,2014-02-25,2014-03-28,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5020,44,3,0,2973,0,2014-04-29,2014-05-02,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5021,88,3,0,2973,0,2014-10-29,2014-12-03,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5022,380,3,0,2973,0,2015-01-19,2015-05-15,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5023,44,3,0,2974,0,2013-10-29,2013-11-25,687,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5024,44,3,0,2974,0,2014-03-17,2014-04-07,687,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5025,88,3,0,2974,0,2014-02-27,2014-05-11,7,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5026,44,3,0,2974,0,2013-11-26,2014-02-26,687,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5027,380,3,0,2974,0,2014-06-04,2014-11-26,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5028,44,3,0,2975,0,2012-10-04,2012-10-31,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5029,44,3,0,2975,0,2012-11-01,2012-11-24,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5030,44,3,0,2975,0,2012-11-29,2012-12-21,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5031,88,3,0,2975,0,2013-04-22,2013-07-03,7,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5032,380,3,0,2975,0,2014-08-06,2015-03-11,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5033,44,3,0,1806,0,2014-04-28,2014-05-23,687,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5034,44,3,0,1806,0,2014-05-23,2014-09-26,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5035,44,3,0,1806,0,2014-10-09,2014-11-08,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5036,88,3,0,1806,0,2014-12-04,2015-02-06,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5037,380,3,0,1806,0,2015-02-27,2015-06-01,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5041,150,3,0,2977,0,2011-03-23,2011-05-19,22,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5042,50,3,0,2977,0,2011-05-23,2011-06-15,22,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5399,44,3,0,3259,0,2011-11-28,2011-12-13,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5400,44,3,0,3259,0,2011-12-14,2012-01-09,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5401,44,3,0,3259,0,2012-01-10,2012-01-25,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5402,88,3,0,3259,0,2012-02-06,2014-10-30,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5403,380,3,0,3259,0,2014-01-08,2014-08-15,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5404,44,3,0,3260,0,2012-07-04,2012-07-25,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5405,44,3,0,3260,0,2012-08-16,2012-09-06,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5406,44,3,0,3260,0,2012-09-12,2012-10-08,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5407,88,3,0,3260,0,2012-11-07,2013-04-16,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
5408,380,3,0,3260,0,2013-10-30,2014-05-22,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5409,44,3,0,3261,0,2012-11-21,2012-12-12,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5410,44,3,0,3261,0,2013-03-04,2013-03-21,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5411,44,3,0,3261,0,2013-03-25,2013-04-15,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5412,88,3,0,3261,0,2013-05-22,2013-08-23,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
5413,380,3,0,3261,0,2013-10-30,2014-04-11,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5414,44,3,0,3262,0,2012-11-21,2012-12-12,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5415,44,3,0,3262,0,2013-03-04,2013-03-21,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5416,44,3,0,3262,0,2013-03-25,2013-04-15,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5417,88,3,0,3262,0,2013-05-22,2013-08-13,7,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5418,380,3,0,3262,0,2013-10-30,2014-04-25,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5419,44,3,0,3263,0,2012-11-21,2012-12-12,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5420,44,3,0,3263,0,2013-03-04,2013-03-21,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5421,44,3,0,3263,0,2013-03-25,2013-04-15,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5422,88,3,0,3263,0,2013-05-22,2013-08-23,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
5423,380,3,0,3263,0,2014-02-27,2014-07-04,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5424,44,3,0,979,0,2012-07-04,2012-07-25,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5425,44,3,0,979,0,2012-08-16,2012-09-06,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5426,88,3,0,979,0,2013-09-10,2013-11-27,7,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5427,44,3,0,979,0,2012-09-12,2012-10-01,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5428,380,3,0,979,0,2014-03-12,2014-10-30,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5429,44,3,0,3264,0,2013-04-10,2013-04-23,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5430,44,3,0,3264,0,2013-04-24,2013-05-29,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5431,44,3,0,3264,0,2013-06-04,2013-06-26,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5432,88,3,0,3264,0,2013-11-20,2014-04-11,7,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5433,380,3,0,3264,0,2014-06-04,2014-11-25,25,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5434,40,3,0,3265,0,2010-07-26,2010-08-10,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5435,40,3,0,3265,0,2010-08-11,2010-08-26,94,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5436,40,3,0,3265,0,2010-07-20,2010-09-08,94,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5437,88,3,0,3265,0,2014-05-14,2014-09-30,18,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5438,396,3,0,3265,0,2011-12-05,2012-08-29,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5439,56,3,0,3266,0,2013-09-10,2013-09-20,85,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5440,164,3,0,3266,0,2012-06-25,2013-06-13,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5441,44,3,0,3267,0,2013-02-26,2013-03-07,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5442,44,3,0,3267,0,2013-03-08,2013-03-21,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5443,44,3,0,3267,0,2013-03-22,2013-04-08,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5444,88,3,0,3267,0,2013-09-10,2013-11-20,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
5445,380,3,0,3267,0,2014-02-26,2014-08-29,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5446,44,3,0,3268,0,2011-06-15,2011-07-06,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5447,44,3,0,3268,0,2011-07-07,2011-11-09,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5448,44,3,0,3268,0,2011-11-10,2011-11-25,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5449,88,3,0,3268,0,2013-03-05,2013-04-19,85,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5450,380,3,0,3268,0,2013-04-24,2014-01-23,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5451,130,3,0,3269,0,2014-08-06,2014-10-02,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5452,30,3,0,3269,0,2014-10-20,2014-10-30,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5453,440,3,0,3269,1,2014-11-24,2014-11-25,422,51,2,1,"Técnico em Enfermagem",NULL,NULL,NULL
5454,44,3,0,3270,0,2012-08-22,2012-09-19,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5455,44,3,0,3270,0,2012-10-17,2012-11-09,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5456,44,3,0,3270,0,2012-09-13,2012-10-10,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5457,88,3,0,3270,0,2013-03-05,2013-04-24,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
5458,380,3,0,3270,0,2013-05-03,2014-02-13,3271,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5459,44,3,0,3272,0,2012-08-22,2012-09-12,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5460,44,3,0,3272,0,2012-09-13,2012-10-10,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5461,44,3,0,3272,0,2012-10-17,2012-11-09,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5462,88,3,0,3272,0,2012-11-21,2013-04-17,104,51,2,1,"Técnico em Enfermagem",2415,"Unidade Básica de Saúde Dr Aurelio Caciquinho Ferreira ",1
5463,380,3,0,3272,0,2013-05-02,2014-01-24,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5464,44,3,0,3273,0,2014-04-28,2014-05-23,687,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5465,44,3,0,3273,0,2014-05-23,2014-09-26,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5466,44,3,0,3273,0,2014-10-09,2014-11-08,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5467,88,3,0,3273,0,2014-06-04,2014-10-08,18,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5468,380,3,0,3273,0,2014-09-22,2014-12-17,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5469,44,3,0,3274,0,2012-08-22,2012-09-12,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5470,44,3,0,3274,0,2012-09-13,2012-10-10,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5471,44,3,0,3274,0,2012-10-17,2012-11-07,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5472,88,3,0,3274,0,2012-11-13,2013-04-23,7,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5473,380,3,0,3274,0,2014-04-09,2014-11-04,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5474,44,3,0,3275,0,2012-07-04,2012-07-25,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5475,44,3,0,3275,0,2012-08-16,2012-09-06,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5476,44,3,0,3275,0,2012-09-12,2012-10-08,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5477,88,3,0,3275,0,2012-11-06,2013-03-20,85,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
5478,380,3,0,3275,0,2013-04-18,2013-12-20,3271,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5479,44,3,0,3276,0,2011-03-22,2011-04-05,1398,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5480,44,3,0,3276,0,2011-04-06,2011-04-19,1398,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5481,44,3,0,3276,0,2011-04-26,2011-05-16,1398,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5482,88,3,0,3276,0,2012-11-21,2013-04-26,104,51,2,1,"Técnico em Enfermagem",2415,"Unidade Básica de Saúde Dr Aurelio Caciquinho Ferreira ",1
5483,380,3,0,3276,0,2013-05-02,2014-02-21,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5484,270,3,0,3277,0,2005-06-01,2005-07-16,3278,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5485,120,3,0,3277,1,2005-08-01,2005-08-19,3278,51,2,1,"Técnico em Enfermagem",NULL,NULL,NULL
5486,210,3,0,3277,1,2005-08-22,2005-09-23,894,51,2,1,"Técnico em Enfermagem",NULL,NULL,NULL
5487,44,3,0,3279,0,2012-08-22,2012-09-12,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5488,44,3,0,3279,0,2012-09-13,2012-10-10,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5489,44,3,0,3279,0,2012-10-17,2012-11-07,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5490,88,3,0,3279,0,2012-11-21,2013-04-02,104,51,2,1,"Técnico em Enfermagem",2415,"Unidade Básica de Saúde Dr Aurelio Caciquinho Ferreira ",1
5491,380,3,0,3279,0,2013-05-22,2014-04-04,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5492,44,3,0,3280,0,2013-04-10,2013-04-23,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5493,44,3,0,3280,0,2013-04-24,2013-05-29,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5494,44,3,0,3280,0,2013-06-04,2013-06-26,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5495,88,3,0,3280,0,2013-08-12,2013-10-09,7,51,2,1,"Técnico em Enfermagem",286,"Unidade Básica de Saúde Hernesto Soares dos Reis",1
5496,380,3,0,3280,0,2013-11-06,2014-04-03,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5497,44,3,0,3281,0,2012-11-21,2012-12-12,27,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5498,44,3,0,3281,0,2013-03-04,2013-03-21,27,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5499,44,3,0,3281,0,2013-03-25,2013-04-15,27,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5500,88,3,0,3281,0,2013-05-22,2013-08-28,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
5501,380,3,0,3281,0,2013-10-30,2014-06-06,3271,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
5810,44,3,0,3447,0,2014-12-05,2014-12-30,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
5811,44,3,0,3447,0,2014-12-10,2015-01-30,61,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
5812,44,3,0,3447,0,2015-02-04,2015-03-05,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
5813,88,3,0,3447,0,2015-05-05,2015-06-19,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
5814,40,3,0,3447,0,2019-08-22,2019-09-03,19,51,2,1,"Técnico em Enfermagem",61,"Centro Estadual de Atenção Especializada - CEAE ",1
5815,284,3,0,3447,0,2019-06-25,2019-12-11,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
6344,20,3,0,3890,0,2022-07-05,2022-07-08,104,51,2,1,"Técnico em Enfermagem",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
6376,30,3,0,3890,0,2022-07-11,2022-07-29,19,51,2,1,"Técnico em Enfermagem",61,"Centro Estadual de Atenção Especializada - CEAE ",1
6377,62,3,0,3890,0,2022-07-11,2022-08-11,1166,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
6613,44,3,0,4040,0,2010-08-17,2010-10-15,94,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
6614,44,3,0,4040,0,2010-08-30,2010-09-14,94,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
6615,44,3,0,4040,0,2010-09-16,2010-10-06,94,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
6616,380,3,0,4040,0,2011-02-21,2012-05-30,1145,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
6617,88,3,0,4040,0,2012-06-27,2012-07-11,85,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
315,80,3,0,114,NULL,2016-08-08,2016-08-19,128,308,4,1,"Técnico em Meio Ambiente Integrado",311,"Instituto Estadual de Floresta - IEF",1
316,80,3,0,127,NULL,2016-08-08,2016-08-19,131,308,4,1,"Técnico em Meio Ambiente Integrado",311,"Instituto Estadual de Floresta - IEF",1
325,80,3,0,132,NULL,2015-07-08,2015-07-24,154,308,4,1,"Técnico em Meio Ambiente Integrado",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
324,88,3,0,140,0,2015-07-13,2015-07-27,152,308,4,1,"Técnico em Meio Ambiente Integrado",4,"Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais - EMATER - MG",1
328,80,3,0,156,NULL,2016-08-08,2016-08-19,131,308,4,1,"Técnico em Meio Ambiente Integrado",311,"Instituto Estadual de Floresta - IEF",1
